id,spec_section,tier,domain,status,evidence
GJ-007,"§8.4","V1","Growth Companion","Missing","No band-keyed curricula, learning-goals entity, or content model sequencing the catalog exists. Only inert scaffolding: capabilities.learning_path column (src/db/schema.ts:1458, nullable, 'Null until authored') is not referenced by any lib/component/app file (grep), and recommendation_catalog.learningResources (schema.ts:1348; src/lib/recommendation-catalog.ts:122,181,207) is carried in the model but never rendered by coaching-card.tsx."
GJ-008,"§8.4","Kill","Growth Companion","Implemented","Correctly absent + test-enforced: src/lib/milestones.ts:28-31 records the no-streak decision (no streak flame/XP/leagues/hearts); tests/missions.test.ts:75-78 schema-shape guard bans any xp/streak/league/points/level/badge column; src/components/companion/companion-cards.test.tsx:179,300 assert rendered companion copy never matches streak|xp|league|points|badge; every repo match for streak/XP/league/hearts is a prohibition comment, not a mechanic."
POP-001,"§9.1","V1-gated","Growth Companion","Blocked","PersonalSelfView machinery is invoked ONLY for ctx.org.kind === 'personal' (src/app/(app)/dashboard/page.tsx:266); a member inside a Team org falls through to TeamOverview and gets no personal self-view. No sub-case-C / companion-in-team ADR exists (docs/decisions latest is 0039-otel-measured-tier; none named companion/sub-case/dual-source)."
POP-002,"§9.2","Frozen","Security","Implemented","src/lib/visibility.ts:88-116 (registry: score name / segment members / shared-account externalId) + :168 throws; completeness test-enforced src/lib/visibility.test.ts:72-78 (identityManifestGaps toEqual {missing:[],extra:[]})"
POP-003,"§9.2","Frozen","Authentication & Authorization","Implemented","src/db/schema.ts:93-97 visibilityMode default(""private""); src/app/api/settings/route.ts:23-38 visibility change is adminOnly+allowOverFreeBand (only an admin can loosen, tightening never blocked); src/lib/visibility.ts:23-30 toPersonRef loosening affects displayName ONLY; src/app/(app)/dashboard/page.tsx:266-274 PersonalSelfView (per-person recs/interaction state) fires only when org.kind===""personal"", else TeamOverview; dashboard/page.tsx:1080-1093 team deriveAttention consumes team-aggregate scoreComponents/scoreDrops + shared catalog + capability LABELS only — no per-person recs, no recInteractions, independent of visibilityMode; src/app/api/recommendations/interaction/route.ts:42-44 self-only 403."
POP-004,"§9.2","MVP","Team Management","Implemented","segments.ts:66-77 championSegment returns null below SEGMENT_MIN_PEOPLE_TO_NAME=4 (ln 58,70); it is the ONLY sanctioned path to name a leading cohort (comment ln 63-65); training-opportunities-card.tsx:30,44-47 uses it and falls back to championsCold copy when floored. Floor enforced in the function so no call site can forget it."
POP-005,"§9.2","V1","Team Management","Implemented","Team rollup: dashboard-view.ts:507 filters coverageCounts by withState >= SEGMENT_MIN_PEOPLE_TO_NAME (below-floor dropped entirely), rendered by CapabilityCoverageCard (dashboard/page.tsx:1213); row type is count-only (label/mastered/total, no person id/name). Exec-memo line: exec-report.ts:355-366 capabilityCoverageLine + readExecReport ln 446-453 applies the SAME MIN_PEOPLE floor/label-join/share-sort. Both count-only, never a person id."
POP-006,"§9.3","Frozen","Shared Accounts","Implemented","Frozen behavior intact: usage-distribution.ts header (ln 12-29) documents shared subjects excluded from per-person volume/day math, resolved-identities-only; tracked_user contract (src/contracts/tracked-user.ts, referenced ln 21-23) counts resolved identities only for billing, unresolved surfaced never billed; shared-account-flags.tsx renders detection flags aggregate-only with guidance-first migration copy (playbook link, not fabrication)."
POP-007,"§9.4","V1-gated","Security","Blocked","No sub-case-C ADR exists (docs/decisions/ ends at 0039; grep for sub-case/companion-in-team/dual-source returns nothing). Companion is gated to personal orgs: src/app/(app)/dashboard/page.tsx:266 renders PersonalSelfView only when ctx.org.kind==='personal', else TeamOverview. Prereqs (a) audit predicate generalized+completeness = src/lib/visibility.ts; (b) dual-source dedup = rowsForSubjects (src/scoring/preview.ts:60,85); (c) surfaced-not-billed = tracked_user contract."
SYNC-001,"§10","Baseline","Sync & Integrations","Implemented","Two-command copy-paste: src/lib/agent-sync.ts:26-32 (login --token, sync). Streaming parser: packages/revealyst-agent/src/stream.ts (line stream, avoids V8 string ceiling). Window pinning: packages/revealyst-agent/src/window.ts trailing inclusive UTC window. Post-commit recompute enqueue: src/lib/agent-ingest.ts:241-265 (score-recompute after tx commit). SyncStatusBadge + 14-day staleness banner: src/lib/agent-sync.ts:38 SYNC_STALE_AFTER_DAYS=14 consumed by src/components/sync-staleness-banner.tsx + sync-status-badge.tsx + dashboard/connections pages. sync_window_incomplete honesty gap: src/contracts/connector.ts:31 + agent-ingest.ts:231 gaps sink."
SYNC-002,"§10","MVP","UX / UI","Implemented","src/app/(app)/dashboard/page.tsx:661-666 daily nudge built from maturity.dataAsOf (freshest successful sync); dashboard.tsx:760 SyncStalenessBanner badges freshness honestly; buildDailyNudge returns null (silence, not a nag) when stale/nothing fresh; connections-copy.ts header comment enforces ""freshness is a badge, not a prompt""."
SYNC-003,"§10","MVP","UX / UI","Partially Implemented","src/components/sync-transparency-panel.tsx:68-84 renders ""Your last sync: N records · M day signals · S subjects · window"" from already-computed connector_runs (the 'captured N across M days' half); the 'here's one thing you did well' positive half is the separate DailyNudgeCard on the companion (dashboard.tsx:792), not adjacent to the sync facts."
SYNC-004,"§10","MVP","UX / UI","Implemented","src/components/sync-transparency-panel.tsx renders AGENT_SENT_FIELDS/AGENT_ON_DEVICE_ONLY_FIELDS/AGENT_NEVER_COLLECTED (from src/lib/agent-collection-schema, the allowlist mirror) + last-run event/day/subject counts + window; connections/page.tsx:92-102 derives LastSyncFacts from connector_runs; noRunYet copy is honest (connections-copy.ts:38-40). Rendered on /connections in the LOCAL_SECTION (connections/page.tsx:253)."
SYNC-005,"§10","MVP","UX / UI","Implemented","src/app/(app)/connections/page.tsx:212-255 renders two labeled sections — POLLED_SECTION (""Connectors we poll for you"") and LOCAL_SECTION (""Local sync you run yourself""); copy defined in src/lib/connections-copy.ts:9-20 separating the one-click-poll vs run-a-CLI mental models."
SYNC-006,"§10","Kill","Security","Implemented","No drag-drop/file-upload/browser-persistent-grant flow in src/app or src/components; only negation copy (src/components/sync-agent-card.tsx:27 'no file upload'; src/app/page.tsx:178 'No extension, no proxy'). No showDirectoryPicker/FileSystemHandle/localStorage-token anywhere."
SYNC-007,"§10","Future","Sync & Integrations","Implemented","Resident/cadence-aware agent correctly demoted-not-dead (absent): no daemon in packages/revealyst-agent/src. The go/no-go deciding telemetry exists: connections.last_success_at (src/db/schema.ts:268, stamped in src/db/org-scope/connections.ts:181,217) plus append-only connector_runs history. The actual go/no-go remains an open Future decision by design (requirements.csv OQ-006)."
MVP-001,"§11.2","MVP","Growth Companion","Implemented","src/app/(app)/dashboard/page.tsx:266-274 routes personal orgs to PersonalSelfView; 778/794/792 render GrowthJourneyCard + CoachingCard + DailyNudgeCard leading; raw 0-100 ScoreCards demoted behind DiagnosticDetails expander (842-848). companion-cards.test.tsx:85-88 asserts no raw score/2-3-digit number in the headline. Score-first PersonalSelfView layout is replaced."
MVP-002,"§11.2","MVP","AI & Recommendation Engine","Implemented","Optimization metadata evolved from the retired static-map type extension into catalog columns benefit/difficulty/confidence/suggested_action_type (drizzle/0029) consumed by computeUtility (src/lib/recommendation-catalog.ts:285-301); G6-compliant (data, not code/LLM). The static map (coaching-recommendations.ts) was replaced by the seeded catalog — a superset of the MVP type extension."
MVP-003,"§11.2","MVP","Team Management","Implemented","dashboard/page.tsx:1115-1243 TeamOverview folds the panels into EXACTLY 5 audience-scoped card sections (a Team AI health / b AI maturity / c Training opportunities / d Benchmarks & distribution / e Data trust); every retired panel component is preserved and re-grouped (comment ln 1116-1120). Exec 8-number report gets distribution via MaturityExportButton (CSV) + link to /maturity + the monthly exec memo email."
MVP-004,"§11.2","MVP","Notifications","Implemented","src/poller/budget-alert.ts maybeSendBudgetAlert renders via src/lib/budget-alert-email.ts and sends through the SES sender (sendEmail from src/lib/email.ts, budget-alert.ts:68,131); CAS budgetAlertState.claimThreshold (budget-alert.ts:99) → exactly once per (org,month,threshold); wired on spend refresh in src/poller/run.ts:157. In-app banner pre-existed (readBudgetAlertForRole)."
MVP-005,"§11.2","MVP","Reporting","Implemented","Within-org percentile lens: usage-distribution.ts:158 percentile() (linear-interpolated, explicitly 'not a benchmark' — the within-org lane per §7.2, distinct from external percentileFor), rendered median/p90 in UsageDistributionPanel (ln 88-96). Board-ready CSV: maturity-csv.ts + api/maturity/export/route.ts (attachment, no-store, 402-gated)."
MVP-006,"§11.2","MVP","Notifications","Implemented","digest-content.ts extended with Growth-Journey delivery: DigestContent.milestones (src/lib/digest-content.ts:96), detectMilestones assembly :276, new-best rides strict isNewBest, weekly-cadence-with-forgiveness hasSustainedRhythm :333. Rendered as a distinct 'Your growth journey' section src/lib/digest-email.ts:147-168. Digest is the Growth-Journey vehicle as specced."
V1-001,"§11.3","V1","Sync & Integrations","Implemented","POST /v1/metrics (src/app/v1/metrics/route.ts) + POST /v1/logs (src/app/v1/logs/route.ts) exist. Device-token scheme reused for metrics: src/lib/otel-receiver.ts:45-64 parseAgentToken + withCredential timing-safe verify (identical to agent-ingest). Pure decoder src/lib/otel-ingest.ts tested against REAL captured fixtures (tests/otel-ingest.test.ts:11-17 loads fixtures/otel/*.captured.json). Content flags off / scrubbing by construction: decoder reads only numeric marker values + subject attrs (user.id/email/developer.name), never content; scripts/otel-capture.mjs:21 never sets OTEL_LOG_USER_PROMPTS. Note: /v1/logs deviates from 'reusing device-token scheme' (see extra_gaps) but is a non-persisting accept-only stub by design."
V1-002,"§11.3","V1","Reporting","Implemented","src/poller/renewal-reminder.ts maybeSendRenewalReminders; T-30/T-7 via src/lib/renewal-reminders.ts:8 RENEWAL_REMINDER_THRESHOLDS=[30,7] + strict dueRenewalThreshold :27; CAS renewalReminderState.claim(connectionId,date,threshold) (renewal-reminder.ts:99); honest 'You entered this renewal date yourself. No vendor reports renewal dates… Revealyst can't confirm' src/lib/renewal-reminder-copy.ts:43; daily cron wrangler.jsonc:72 → src/worker.ts:279."
NOT-001,"§11.5","NOT","AI & Recommendation Engine","Implemented","No LLM SDK in package.json (grep anthropic/openai/langchain/ai-sdk empty); no messages.create/chat.completions/generateText in src; all coaching text is human-written catalog rows (drizzle/0029) appended with a fixed disclaimer (recommendation-catalog.ts:16-17). Correctly absent."
NOT-002,"§11.5","NOT","Security","Implemented","No extension/proxy/capture code; all matches are negation copy (src/app/page.tsx:180 'We rejected browser extensions outright'; src/app/(app)/compliance/page.tsx:37; src/app/legal/privacy/page.tsx:60). Ingestion is admin-API connectors + user-run CLI agent + OTel only."
NOT-003,"§11.5","NOT","Security","Implemented","Content never ingested in any mode: packages/revealyst-agent/src/parse.ts reads block TYPE only (:87) and never denylisted content; src/lib/agent-ingest.ts:145-152 bounds dim; src/lib/otel-ingest.ts reads markers only; src/lib/agent-collection-schema.ts lists message.content/toolUseResult as AGENT_NEVER_COLLECTED. No content field exists in the data model, so Team mode is structurally safe."
NOT-004,"§11.5","NOT","AI & Recommendation Engine","Implemented","No time-saved/ROI metric or category exists; ROI/time-saved is a first-class refusal (src/lib/maturity-glossary.ts:228-232 roi_time_saved 'never ship one'); expected impact renders qualitative benefit levels only (high/medium/low, recommendation-catalog.ts:34). methodology/exec copy explicitly disclaim ROI. Correctly absent."
NOT-005,"§11.5","NOT","AI & Recommendation Engine","Implemented","src/lib/maturity-glossary.ts:233-238 'Per-person quality or ranking' is a Group-C refusal ('never rate or rank named individuals'); src/components/companion/growth-journey-card.tsx:77 'a leading indicator, not a productivity score'; no velocity/authorship/AI-vs-human score in code. Correctly absent."
NOT-006,"§11.5","NOT","Data Confidence","Implemented","src/lib/maturity-glossary.ts:220-226 shadow_ai refusal ('would be a guess dressed as a measurement'); src/components/maturity/maturity-number-grid.tsx:136-138 dark-seat waste rendered with a not_measured/directional confidence badge, never modeled; confidenceTier enum includes not_measured. Correctly absent (gap stated, not modeled)."
NOT-007,"§11.5","NOT","Authentication & Authorization","Implemented","Absence verified. No READ route for rec-interaction state exists: src/db/org-scope/rec-interactions.ts:8-12 (self-view by construction); only caller = dashboard/page.tsx:401 statesForUser(ctx.user.id) inside org-of-one PersonalSelfView, and POST route (interaction/route.ts:42) 403s non-owner. Individual coaching/recs never enter the team path: TeamOverview deriveAttention (dashboard/page.tsx:1080) receives no recInteractions and only team-aggregate inputs; digest.ts:144-146,165-167 reads per-person dismissals ONLY in the personal (org-of-one) lane and returns anonymous rec-id strings. Capability/mission/exposure self-view: mastery.forUser/missions.progressForUser/exposures.forUser all inner-join people.auth_user_id (org-scope/mastery.ts:84, missions.ts:65, exposures.ts:60) and are called only with ctx.user.id (dashboard/page.tsx:412,416) or the digest owner; exposures.ts:5-14 documents NO manager/admin read route and grep confirms forUser/list are never wired to a route (only exposures.log write in digest.ts:322). Team rollup uses aggregate count-only mastery.coverageCounts (dashboard-view.ts:309), carrying no person id."
NOT-008,"§11.5","NOT","AI & Recommendation Engine","Implemented","src/lib/custom-index.ts:6-8 reuses the frozen scoreComponentsSchema (closed aggregation vocab; no per-tenant expressions/DSL), :43-48,98-99 CUSTOM_INDEX_SUBJECT_LEVELS = team/org with person explicitly rejected; src/app/api/indexes/route.ts publishes an ordinary score_definitions row. No formula DSL. Correctly absent."
NOT-009,"§11.5","NOT","Infrastructure","Implemented","Grep of src/**/*.{ts,tsx} for saml|scim|hris|mdm|okta|onelogin|workos|azure ad|ldap|sso returns zero runtime matches; only src/app/page.tsx:234 lists ""SSO and audit (roadmap)"" as an unbuilt Enterprise marketing bullet. No enterprise procurement machinery exists. The `roles`/`role_assignments` tables are internal RBAC assignment (Settings), not SCIM provisioning. MDM agent was retired (no code references). Correctly absent — the Kill is honored."
NOT-010,"§11.5","NOT","AI & Recommendation Engine","Implemented","grep for dora/deployment frequency/lead time/mttr/change failure in src returns only unrelated hits (renewal-reminder lead time, agentic coverage). No DORA/dev-intelligence suite; no GitHub outcome layer (Outcomes entity stays Future). Correctly absent."
NOT-011,"§11.5","NOT","Growth Companion","Implemented","Correctly absent: grep for 'AI news|news feed|newsfeed|editorial|news-feed' across the repo hits only docs (spec/direction/plan/requirements), zero source files. No editorial/news feed surface exists in src/."
NOT-012,"§11.5","NOT","AI & Recommendation Engine","Implemented","src/lib/recommendation-catalog.ts:42-45 SuggestedActionType closed enum = link-out/in-product-setting/vendor-deep-link (all read-only/navigational); grep for 'does X for you'/automatically apply/writes to your returns nothing. No third-party write automation. Correctly absent."
NOT-013,"§11.5","NOT","AI & Recommendation Engine","Implemented","grep for ask ai/ask-ai/nl-query/natural language query/chat surface in src returns nothing; no chat component or LLM query endpoint exists. Correctly absent."
NOT-014,"§11.5","NOT","Billing & Entitlements","Implemented","Correctly absent: src/db/org-scope.ts:74-104 ensureOrgOfOne is the single signup path — every user gets one personal org-of-one via Better Auth, no separate Personal acquisition/checkout funnel; src/lib/entitlements.ts:3-7 comments confirm the free/paid line is the tracked_user count vs entitlement, not org kind (org.kind never becomes a distinct billing funnel). No second B2C funnel, pricing path, or onboarding split for Personal exists; Personal reuses identical machinery (Spec V4 §11.5, §14)."
NOT-015,"§11.5","NOT","AI & Recommendation Engine","Implemented","drizzle/0026_roles-entity.sql:28-37 seeds engineering-only roles (backend/frontend/fullstack/mobile/platform/data/ml/sre); catalog applicable_roles is empty at launch; no non-engineering role library. Correctly absent (spec §16.3 M365/Workspace expansion still gated)."
NOT-016,"§11.5","NOT","Notifications","Implemented","Absence verified: 0 hits for slack/microsoft-teams/msteams as a delivery channel across src/ (grep). No Slack/Teams/Discord deps in package.json; no deliveryChannel/notificationChannel abstraction. The only 'webhook' in schema.ts:848-869 is the Paddle billing webhook, not a notification channel. Delivery is email-only via SES."
NOT-017,"§11.5","NOT","Growth Companion","Implemented","Correctly absent: all streak/XP/league/points/hearts matches in src/ are negations or false positives — src/db/org-scope/missions.ts:16 ('nothing here tracks streaks/points/xp'), src/lib/capability-glossary.ts:79 ('NO points/streak/league/badge'), src/components/companion/mission-card.tsx:19 ('NO points/streak/league/badge-collection'), and false positives ('points to', 'leaderboard' in negation, data 'points'). Weekly-cadence renders count-free forgiveness narrative (src/lib/milestones.ts:90-96). Enforced by companion-cards.test.tsx (asserts no raw-number headline) and a banned-phrasing test referenced at capability-glossary.ts:79."
NOT-018,"§11.5","NOT","Infrastructure","Implemented","Grep of src/ and package.json for kafka|clickhouse|kinesis|pulsar|rabbitmq|tensorflow|pytorch|onnx|sagemaker|scikit|xgboost returns zero matches; no services/ or workers/ dirs (no separate ML service — capability scoring is pure TS in src/scoring, OTel decoding is pure src/lib/otel-ingest.ts, receiver is in-process routes at src/app/v1/*). Vendor allowlist src/contracts/attribution.ts:51-56 = github_copilot, cursor, anthropic_console, anthropic_claude_enterprise, openai, claude_code_local — no Chinese-vendor connectors. Queueing uses Cloudflare Queues, not Kafka. Correctly absent."
NOT-019,"§11.5","NOT","AI & Recommendation Engine","Implemented","Relational capability graph only (drizzle/0030, not a graph DB); deterministic ranker computeUtility (no ML/bandit/BKT — grep clean); individual persona labels killed; missions carry no XP/streak/league/points (enforced by tests/missions.test.ts + src/components/companion/mission-card.tsx:19 and milestone-card.tsx:25 negative comments); no LMS/course/certification (grep clean). Correctly absent."
BILL-001,"§11.5","Frozen","Billing & Entitlements","Implemented","src/lib/entitlements.ts:11 (FREE_TRACKED_USER_LIMIT = 5, single source); src/app/page.tsx:203-231 ($0/forever Personal, $2 '/ tracked user / mo' Team) and page.tsx:217,314 render the constant; src/app/legal/terms/page.tsx:49 renders the constant; src/app/page.tsx:693 + legal/terms:58-84 + legal/privacy:33,118 state Paddle as Merchant of Record. Note (not a defect): page.tsx:226 adds a time-boxed founder promo ('50% off — $1 per tracked user — through Aug 31, 2026'), a labeled discount over the $2 base, not a base-price change."
BILL-002,"§14","Frozen","Billing & Entitlements","Implemented","src/metering/meter.ts:59-85 (setQuantityIf claims the transition BEFORE updateSubscriptionQuantity/Paddle PATCH; on PATCH throw, a reverse CAS rolls the claim back so a retry re-charges rather than drifting ahead of Paddle); src/db/subscriptions.ts:127-149 (setQuantityIf: UPDATE ... WHERE org_id AND paddle_subscription_id AND quantity=expected, row-locked so exactly one of two redelivered messages wins); meter.ts:44-52 re-reads live entitlement and no-ops when quantity unchanged or status not active/trialing. Record-then-charge under an at-least-once queue → mid-flight crash under-bills (safe), never double-charges."
BILL-003,"§15.2","Frozen","Billing & Entitlements","Implemented","src/lib/api-route.ts:18-39 (handleApi: paywall ON by default — computeAccess → 402 unless opts.allowOverFreeBand); src/app/(app)/layout.tsx:52-55 (same computeAccess gates the page shell, returns UpgradePaywall when blocked & not exempt). Note: the literal 'opt-out only for upgrade/portal' clause has been deliberately widened — allowOverFreeBand is also set on src/app/api/connections/[id]/route.ts:83 (DELETE), src/app/api/settings/route.ts:37 (privacy tighten, ADR 0018), src/app/api/settings/digest/route.ts:30 and settings/exec-report/route.ts:25 (own notification prefs); page-shell exempts /account (account deletion, ADR 0015) and /settings. Each is documented and principled (privacy/account controls are never-paywalled), so core enforcement holds; see extra_gaps for the spec-text divergence."
UX-001,"§12.1","MVP","UX / UI","Implemented","src/app/(app)/dashboard/page.tsx:266-274 forks Personal Companion vs Team Intelligence; Executive one-pager is /maturity + composeExecReport (exec memo email/export). src/components/app-sidebar.tsx:40-45 folds nav to Overview/AI maturity/Connections/Account; /people, /teams, /methodology retired from nav, /indexes demoted (comments :35-56). Everything else is a card or settings page."
UX-002,"§12.1","MVP","Reporting","Implemented","Monthly narrative one-pager = 8 numbers + composed narrative: exec-report.ts sections()+summary (composeNarrative reused). Spend Governance folded as a LINE not a page: SpendGovernanceLine (dashboard/page.tsx:204-251) renders one card-line (reported spend + cost-per-active-person + Manage-budgets link) on both team (ln 1143) and personal (ln 867) surfaces; exec memo carries spendLine (exec-report.ts:171); the full /spend page stays. Reported/measured only, never ROI (comment ln 200-203)."
UX-003,"§12.2","MVP","Navigation","Implemented","src/components/app-sidebar.tsx:35-45 removes /people and /teams from NAV_ITEMS (comment documents the W5-H fold); roster relocated to the Team dashboard 'People & teams' card (dashboard:1373-1403) and to Settings TeamManagementCard (src/app/(app)/settings/page.tsx:177-183) + RoleManagementCard. Standalone /people and /teams routes remain reachable (deprecate-keep-shipping) but are off the primary nav."
UX-004,"§12.2","MVP","Navigation","Implemented","No standalone correlation/anomaly panel components exist (grep over src/components/dashboard/*.tsx returns only period-narrative-card). Correlations fold into the narrative via src/components/dashboard/period-narrative-card.tsx:66-85 ('moved together' block inside the narrative card); anomalies render as early-warning attention alerts through deriveAttention (dashboard:1076-1093 team, 588-594 personal), not a dedicated panel."
UX-005,"§12.2","MVP","Navigation","Implemented","src/components/app-sidebar.tsx:51-64 comment + ADMIN_NAV_ITEMS omit /indexes (demoted from nav); the Custom Index Builder is reachable from the Settings 'Custom indexes' card (src/app/(app)/settings/page.tsx:194-215). Route still resolves and stays admin/Team-gated."
UX-006,"§12.3","Principle","UX / UI","Implemented","EmptyState used across 10 files (connections/page.tsx:139, dashboard.tsx:1265); SyncStalenessBanner (dashboard.tsx:760,1111); notComparable pattern in score-card.tsx:63, maturity-number-grid.tsx:309, agentic-adoption-card.tsx:153, digest-copy.ts:62; MIN_PEOPLE floors + honest 'not enough data' states in maturity-axis-meters/level-banner and usage panels; OnboardingInterim bridges the connected-but-no-scores cliff."
UX-007,"§12.4","Principle","UX / UI","Implemented","grep of *-glossary.ts/*-copy.ts title/headline strings finds no deficiency language leading any headline (only one 'measuring low' inside a coaching subtitle, positively framed); GROWTH_JOURNEY_COPY, DAILY_NUDGE_COPY, MILESTONE_COPY, COACHING_COPY all lead positive-first (companion-glossary.ts:40-129)."
UX-008,"§12.5","Frozen","Design System","Implemented","components.json:3 style ""base-nova""; package.json:25 @base-ui/react ^1.6.0; Base UI render={<Link/>}+nativeButton={false} pattern throughout (growth-journey-card.tsx:130-131, sidebar buttons); shared components in src/components + src/components/ui/*; grep confirms zero createDb in any src/app/**/page.tsx — pages use requireAppContext from src/lib/api-context.ts."
UX-009,"§12.6","Principle","Documentation","Implemented","13 *-glossary.ts/*-copy.ts modules under src/lib/ hold user-facing prose; landing 'Connects' strip derives from registeredVendors() at src/app/page.tsx:14,74-97 (never hard-coded); src/app/legal/what-we-collect/page.tsx:8-15 generated from the device allowlist. Minor honest exception: src/app/legal/terms/page.tsx:32-33 names 'for example Anthropic, OpenAI, and Cursor' inline, but as illustrative examples that are all live connectors — not a drift risk."
PRIV-001,"§13","Frozen","Security","Implemented","(1) packages/revealyst-agent/src/parse.ts:52,75,87 (IGNORED_TYPES, sanitizeModel clamp, block-type-only); (2) src/lib/agent-ingest.ts:41,145-152 (MAX_DIM_LENGTH=128 + charCode<=0x20 control-char reject); (3) src/lib/otel-ingest.ts:60,104-126 (attr allowlist + 2 metric names) and src/app/v1/logs/route.ts persists nothing."
PRIV-002,"§13","Principle","Security","Implemented","Team surface is aggregate-only by the throwing predicate (src/lib/visibility.ts:168); the four self-view tables have no manager read route (exposures.list has no manager caller — src/poller/digest.ts:322 is the only writer; user_capability_state read only in the personal branch of src/app/(app)/dashboard/page.tsx). No manager-readable individual surface exists."
PRIV-003,"§13","Frozen","Security","Implemented","Generalized predicate + completeness tripwire (src/lib/visibility.ts:140,168; test :72-78); default private (src/db/schema.ts:97); named reveal gated behind logged admin action — updateOrgSettings writes audit_log on visibilityMode change (src/lib/api-impl.ts:357)."
PRIV-004,"§13","Frozen","Security","Implemented","src/lib/credentials.ts: AES-256-GCM DEK (:189) wrapped by versioned Worker-secret KEK (:140,181), AAD=orgId:connectionId:kind (:91); connection_credentials stores only base64 envelope fields (src/db/schema.ts:291-315, no plaintext column); 'KMS' appears only as negations (credentials.ts:4; docs/legal/dpa.md:56, README.md:39)."
PRIV-005,"§13","Frozen","Security","Implemented","raw_payloads.expires_at default now()+interval '90 days' (src/db/schema.ts:456), purged by purgeExpiredRawPayloads (src/db/system.ts:332) on the nightly purge-retention queue; account deletion via src/db/account-deletion.ts PURGE_TABLES with missingFromPurgeTables completeness tripwire (:219) — every new person-scoped table registered (recInteractionState, roleAssignments, userCapabilityState, missionProgress, recommendationExposure)."
PRIV-006,"§13","MVP","Security","Implemented","src/app/legal/what-we-collect/page.tsx renders AGENT_SENT_FIELDS/AGENT_ON_DEVICE_ONLY_FIELDS/AGENT_NEVER_COLLECTED from src/lib/agent-collection-schema.ts, which is pinned byte-identical to the CLI allowlist (packages/revealyst-agent/src/allowlist.ts) per its module doc + tests — not a paraphrase."
PRIV-007,"§13","MVP","Data Confidence","Partially Implemented","src/lib/launch-funnel.ts:42-48,103 instruments orgs→connected→backfilled→activated + personal→team; src/lib/launch-events.ts:34-39 counts companion_revisit; connector_runs cadence (MET-003) exists. No dedicated named 'opt-in rate / privacy-enables-adoption' indicator; the sharpest test (companion opt-in inside Team orgs, MET-004) is explicitly gated on W6-A."
PRIV-008,"§13","Kill","Security","Implemented","No MDM/org-deployed/endpoint-agent code anywhere (grep MDM/org-deployed/resident-agent empty). Desktop/OTel data lands as person-attributed metric_records read only on the personal self-view; no team surface reads them (src/lib/dashboard-view.ts). No raw log/folder upload flow (see SYNC-006). The agent is a user-run CLI, not an org-deployed binary."
MET-001,"§14","MVP","Data Confidence","Implemented","launch-events.ts digest_return event with coarse ISO-week 'wk' dim (ln 38,89-99); fired at worker edge seam (worker.ts:121-128) on ?src=digest click-through; digest email tags the app-return CTA via appendDigestUtm (digest-email.ts:43-46). N-week return rate is measurable from the wk-dimensioned event series."
MET-002,"§14","MVP","Data Confidence","Implemented","Both voluntary-return signals fire content-free at the worker edge: digest_return (digest open→session proxy) worker.ts:121-128; companion_revisit (isCompanionRevisit, GET/HEAD /dashboard, RSC soft-navs excluded) launch-events.ts:109-119 + worker.ts:130-131. No per-user tracking — the aggregate count over time IS the returning-engagement signal."
MET-003,"§14","MVP","Data Confidence","Partially Implemented","Data substrate exists and is append-only: connector_runs.finished_at (queried in system.ts:200-208 for first-backfill min()) and connections.last_success_at (used for staleness, dashboard-view.ts:148). But NO code derives a manual-sync CADENCE DISTRIBUTION (inter-sync intervals / histogram) — launch-metrics.ts only uses connector_runs for time-to-first-insight (min), never for cadence."
MET-004,"§14","V1-gated","Data Confidence","Blocked","The self-view companion does NOT ship inside Team orgs: dashboard/page.tsx:266-274 routes org.kind==='personal' → PersonalSelfView and everything else → TeamOverview; a team-org member never receives the personal companion, so there is nothing to measure opt-in against. No opt-in mechanism or opt-in-rate metric exists (grep for opt-in rate returns nothing)."
MET-005,"§14","V1","Data Confidence","Partially Implemented","Both named dependencies now exist: recommendation_exposure log (src/db/org-scope/exposures.ts, log()+forUser(), self-view-only, no manager/admin read route) and rec-interaction state (org-scope/rec-interactions.ts, snooze/dismiss/tried). But NO code computes the shown→tried/dismissed RATIO — grep for the engagement ratio finds nothing; the offline Precision@k/NDCG@k harness is explicitly gated on real volume (spec §6.4 ln 273-274)."
MET-006,"§14","Baseline","Data Confidence","Implemented","src/lib/attribution-trend.ts computes person-attributed usage-days ÷ total per ISO week (currentPct headline + up-to-12-week trend, ln 19-53); surfaced in-product via AttributionTrendCard (attribution-trend-card.tsx:119), rendered inside TeamOverview's AI-maturity usage-detail section (dashboard/page.tsx:1197) and carried into the exec memo as honestyLine (exec-report.ts:201-221). Empty denominator → honest 'empty' state, never a fabricated 0."
MET-007,"§14","MVP","Data Confidence","Implemented","src/lib/launch-funnel.ts deriveLaunchFunnel personalToTeam block (ln 62-69, 121-129): personalOrgs, teamOrgs, personalWithInvites (invitesSent>0), personalWithAcceptedInvites, personalMultiMember — all from existing invite/org_members/orgs tables (scripts/launch-metrics.ts gathers via invites+orgMembers, ln 21-29). The individual-orgs → invites-sent → team-orgs flywheel conversion is observable with no new tables."
